"","unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"553",554,"T0000109","short",0.003,128.8729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85400,85400,85400,85400,85400,85400,85400,85400,NA,NA,NA,NA,NA,NA,NA,NA,85400,85400,85400,85400,85400,85400,85400,85400,85900
"554",555,"T0000109","short-c",0.0035,135.0307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92200,92200,92200,92200,92200,92200,92200,91700,91700,91700,91700,91700,91700,91700,92200,92200,92200,92200,92200,92200,92200,91700,91700,91700,91700,91700,91700,91700,NA,NA,NA,NA,NA,NA,NA,NA
"555",556,"T0000109","flat",0.0215,139.8963,52200,52200,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,53200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,NA,NA,NA,NA,NA
"556",557,"T0000109","flat",0.1776,147.0003,50200,50700,NA,51200,51700,51700,51700,51700,NA,52200,51700,51700,51700,51700,52200,51700,51200,51200,51200,51200,50700,50700,50700,50200,50200,50200,50200,49800,49800,49800,49800,49300,49300,49300,49800,51200,50700,50200,50200,49800,50200,50200,50200,50200,50700,NA,51700,NA,NA,NA
"557",558,"T0000109","short-c",0.0051,147.3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100
"558",559,"T0000109","flat",0.0163,148.1139,50700,50700,50700,50700,51200,51200,51200,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50700,51200,51200,50700,50700,50700,50200,50200,50200,50200,50200,50200,NA,NA,NA,NA,NA,NA,NA,49800,49800,NA,NA,NA,49800,49800
"559",560,"T0000109","flat",0.0384,148.2946,NA,NA,NA,NA,49800,49800,50200,50200,50200,50200,50200,50200,50200,50700,50200,50200,50200,49800,49800,50200,50200,50200,50200,50200,50200,50200,50200,49800,50200,49800,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,48800,48800,48300,48300,NA,NA,NA,NA,NA,NA
"560",561,"T0000109","short",5e-04,148.523,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,76100
"561",562,"T0000109","short",0.0071,148.9623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77600,77600,77600,77600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79100,79100,79100,79100,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500
"562",563,"T0000109","flat",0.0931,152.6481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,47800,47300,47800,NA,47300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563",564,"T0000109","flat",0.0665,152.8944,49800,49800,50200,50200,50200,50200,50200,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,49300,49300,49800,NA,NA,48800,49300,49300,48800,48300,48800,48300,47800,NA,47800,47800,47300,NA,NA,NA,NA,NA,NA,NA
"564",565,"T0000109","flat harmx",0.1628,153.0915,46800,47300,47800,47800,47800,47800,47300,46800,46800,46300,45800,45800,45400,44900,44900,NA,44900,44900,44900,44900,44900,44400,44900,44900,44900,44900,44900,44900,44900,44900,45400,NA,NA,45400,NA,45800,45400,45400,45400,46300,45800,46300,46300,46300,46800,46800,46800,46800,46800,46300
"565",566,"T0000109","flat harmx",0.1669,153.3875,44400,45400,45800,45800,NA,45400,45800,45400,45400,45400,44900,44900,44400,44400,44400,43900,43900,43900,43400,43400,42900,41500,41500,41500,41500,41500,41500,41500,42400,42900,42900,43400,43400,43400,43400,43900,43900,43900,43900,43900,44400,43900,44400,44400,44400,44400,44400,44400,44900,44400
"566",567,"T0000109","flat",0.1474,158.8285,51200,51200,51200,50700,50200,50200,NA,49800,49800,49800,49300,49300,48800,48300,48300,48300,48300,48800,48800,48300,48300,48300,48800,48300,48300,48800,48800,48300,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,50200,50200,50700,50700,51200,51700,NA
"567",568,"T0000109","short",0.0076,159.531,80000,80000,80000,80000,80000,80000,80000,80500,80500,80500,80500,80500,80500,80500,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500
"568",569,"T0000109","short",0.003,159.9232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",570,"T0000109","flat",0.107,160.1756,46300,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,46300,46300,45800,45800,45800,45800,45800,45400,45800,45800,45800,45800,46300,46300,46300,46300,46800,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,48300,48300,47800,47800,NA,NA
"570",571,"T0000109","short",0.0035,160.4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76600,76600,76600,76600,76600,76600,76600,77600,77600,77600,77600,77600,77600,77600,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77600,77600,77600,77600,77600,77600,77600,76600
"571",572,"T0000109","flat",0.0107,160.6179,80000,80000,80000,80500,80500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79100,79100,79100,79100,79100,79100,79100,79500,79500,79100,79100,79100,79100,79100,79100,79100,78600,78600,78600,78600,78600,78600,78600,78600,78600,78100,78100,78100,78100,78100,78100,78100,77600
"572",573,"T0000109","flat",0.0143,160.8253,82000,82000,82000,82000,82000,82000,82500,82500,82500,82500,82500,82500,82500,83000,82500,82500,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,82500,82500,82500,82500,82500,82500,82500,82000,82000,82000,82000
"573",574,"T0000109","flat",0.0486,161.6742,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,48800,49300,48800,48800,48800,48800,48800,48300,48300,48300,48300,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46300,46300,46300,45800,45800,45400,44900,NA,NA,44400,NA
"574",575,"T0000109","short",0.0051,161.9056,77600,77600,77600,77600,77600,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,79100,79100,79100,79100,79100,79100,79100,79100,79100,NA
"575",576,"T0000109","short",0.0015,166.0564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,NA
"576",577,"T0000109","short",5e-04,166.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",578,"T0000109","short-c",0.0046,166.6647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",579,"T0000109","short",0.0081,166.9488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87800,87800,87800,87800,87800,87800,86900,86900,86900,86900,86900,86900,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",580,"T0000109","short",0.004,167.5351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30700,30700,30700,30700,30700,30700,NA,NA,NA,NA,NA,NA,31200,31200,31200,31200,31200,31200,NA,NA,NA,NA,NA,NA,30700,30700,30700,30700,30700,30700,30700
"580",581,"T0000109","flat",0.0153,175.3548,NA,NA,86900,86900,NA,86400,86400,86900,86900,87400,87400,87400,87400,87400,87800,87800,87800,87800,88300,88300,88300,88300,88300,88300,88300,88800,88800,88300,88300,88300,88300,88300,88300,87800,87800,87800,87400,87400,87400,87400,86900,87400,87400,85400,85400,85400,84900,84900,84900,84400
"581",582,"T0000109","flat",0.0143,178.1601,81500,81500,81000,81000,81000,81000,81000,81000,81000,81000,81000,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,NA,NA,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80500,80000,80000,80000,80000,80000,79500,79500,NA,NA
"582",583,"T0000109","short-ur",0.0051,178.5436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62900,62900,62900,62900,62900,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,62900
"583",584,"T0000109","short",0.002,179.2414,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900,106900
"584",585,"T0000109","flat",0.0204,190.3749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80500,NA,NA,NA,NA,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",586,"T0000109","flat harmx",0.0358,190.5694,NA,NA,NA,NA,NA,NA,NA,46300,45800,45800,46300,46300,45800,45800,NA,45400,44900,NA,NA,NA,NA,NA,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,41500,41900,42400,42900,42900,42900,42900,42900,42400,NA
"586",587,"T0000109","short",0.0015,190.8131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587",588,"T0000109","unclear",0.0332,191.6907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",589,"T0000109","short",0.0015,196.9925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",590,"T0000109","short",0.0025,210.2215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61000
"590",591,"T0000109","flat",0.0732,210.3203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591",592,"T0000109","short",0.0092,216.5626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592",593,"T0000109","flat",0.0542,216.8145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",594,"T0000109","flat",0.0143,217.0844,NA,NA,47300,47300,47800,47800,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,NA,NA,NA,NA,47800,NA
"594",595,"T0000109","complex",0.064,217.131,NA,NA,NA,NA,70300,69300,69800,69800,NA,NA,NA,NA,73700,74200,NA,NA,74700,74700,74700,74700,73700,NA,NA,72200,NA,NA,NA,71200,NA,NA,NA,NA,NA,NA,71200,71200,NA,70800,70800,NA,70800,70800,70300,69800,70300,69800,69800,69300,69300,NA
"595",596,"T0000109","short",0.0015,220.9582,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,NA
"596",597,"T0000109","short",5e-04,222.8817,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500
"597",598,"T0000109","flat",0.0128,228.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598",599,"T0000109","short",0.001,230.2259,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,85900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86400
"599",600,"T0000109","flat",0.0322,240.3978,NA,NA,NA,NA,71200,71200,71200,71200,71200,71200,71200,70800,NA,70300,70300,70300,70300,69800,69800,69800,70300,70300,70300,70300,70300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",601,"T0000109","short",0.0071,241.8206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74200,74200,74200,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74200,74200,74200,74200,74200,74200,74200,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,74200,74200,74200,NA
"601",602,"T0000109","short",0.002,241.856,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,NA
"602",603,"T0000109","short",5e-04,242.0592,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,73700
"603",604,"T0000109","short",0.0081,247.7916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604",605,"T0000109","short",0.0051,256.1566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,83400,NA,NA,NA,NA,NA,82500,82500,82500,82500,82500,82000,82000,82000,82000,82000,82000,82000,82000,82000,81500
"605",606,"T0000109","short",0.0035,256.3793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78600,78600,78600,78600,78600,78600,78600,NA,NA,NA,NA,NA,NA,NA,78600,78600,78600,78600,78600,78600,78600,NA
"606",607,"T0000109","step up",0.0757,270.8357,NA,50700,51700,52200,52200,52700,52200,52200,51700,51200,50700,50700,50200,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,49800,49300,49300,48300,NA,NA,NA,NA,NA,NA,NA,71200,72200,NA,NA,NA,73200,73700,73700,73200,72200,NA,NA,71700,71200,70800,70300
"607",608,"T0000109","short-c",0.0025,284.6366,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",609,"T0000109","short",0.0097,294.7793,NA,NA,NA,NA,NA,NA,71200,71200,72200,72200,72200,71700,71700,71200,71200,71200,71200,71200,71200,71700,71700,71700,71700,71700,71700,71700,71200,71200,71200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609",610,"T0000109","flat",0.0343,300.2695,NA,70800,NA,71200,71200,71200,71200,71200,70800,70300,70300,69800,69300,68800,68300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66400,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,NA
"610",611,"T0000109","flat",0.0332,309.5639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611",612,"T0000109","flat",0.0174,309.7932,NA,NA,NA,NA,NA,NA,74200,74200,74200,74700,74700,74200,NA,NA,NA,75100,NA,NA,NA,74700,74700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",613,"T0000109","short",0.0066,318.5848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",614,"T0000109","short",0.004,328.6399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",615,"T0000109","short-c",0.0071,344.367,87800,87800,87800,87800,88300,88300,88300,88300,88300,88300,88300,89300,89300,89300,89800,89800,89800,89800,89800,89800,89800,90300,90300,90300,90300,90800,90800,90800,90800,90800,90800,90800,90800,90800,90800,90800,90800,90800,90800,89800,89800,89800,NA,NA,NA,NA,NA,NA,NA,NA
"615",616,"T0000109","short",0.0066,349.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",617,"T0000109","short-c",0.0046,350.8592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",618,"T0000109","short",0.0066,367.9226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83000,83000,83000,83000,82500,82500,82500,82500,82000,82000,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",619,"T0000109","short",0.002,397.5592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,NA
"619",620,"T0000109","short",0.003,424.13,95700,95700,95700,95700,95700,95700,95700,95700,95700,96100,96100,96100,96100,96100,96100,96100,96100,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,96600,97100,97100,97100,97100,97100,97100,97100,97100,97100
"620",621,"T0000109","short",0.0087,505.8119,47800,47800,47800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800
"621",622,"T0000109","flat",0.0138,506.5763,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,43900,43900,43900,43900,43400,43400
"622",623,"T0000109","short-su",0.0056,507.1877,51200,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51200,51200,51200,51200,51200,51700,51700,51700,51700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623",624,"T0000109","short",0.0056,536.6968,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,73700,73700,73700,73700,73700,73200,73200,73200,73200,72700,72700,72700,72700,NA
"624",625,"T0000109","short",0.003,551.7517,86400,86400,86400,86400,86400,86400,86400,86400,86400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86400,86400,86400,86400,86400,86400,86400,86400,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900
"625",626,"T0000109","short",0.001,554.1959,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,86900,NA
"626",627,"T0000109","short",0.0015,560.8406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",628,"T0000109","flat-z",0.0634,591.0118,50700,51200,51700,51700,52200,52200,52700,52700,52700,53200,53200,53200,53200,53200,53200,52700,52700,52700,52700,52700,52200,52200,52200,51700,51700,51700,51200,50700,51200,49300,48800,48800,48300,48300,48300,48300,48300,48800,48800,48800,49300,49300,50200,50700,50200,49800,49800,49800,48800,NA
"628",629,"T0000109","short",0.0102,591.2161,53700,53700,53700,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53200,53200,53200,53200,52700
"629",630,"T0000109","flat",0.0204,591.4132,48300,48300,48300,48800,48300,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,47800
"630",631,"T0000109","flat",0.0517,591.5816,48800,48800,49300,49300,49300,49300,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,50200,50700,50200,50200,50200,50200,50200,49800,49800,49800,49800,49800,49800,49800,50200,49800,49800,49800,49300,49800,49800,49300,49300,48800,48800,48800,48800,48300,48300,48300,48300,47800,47800
"631",632,"T0000109","step up",0.0307,591.7818,55600,55600,55600,55600,55100,55600,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56600,56100,56100,NA,55600,56100,56100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,NA,55100,54600,NA,92200,92200,91700,92200,91300
