"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"850",369,"trill",0.0455,107.1662,107.2117,-71.73,46800,NA,NA,NA,NA,NA,NA,70800,71200,72700,72200,71700,72200,NA,NA,NA,NA,NA,NA,NA,72200,72200,72200,72700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,69300,69300,NA,NA,NA,NA,NA,NA,NA,NA,66400,66400,66400,66400,65900,"T0000061"
"851",370,"step up",0.0348,107.246,107.2808,-60.05,NA,NA,NA,41900,41900,41900,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70300,70800,70300,70300,70300,69800,NA,NA,"T0000061"
"852",371,"flat",0.0266,107.4181,107.4447,-61.27,41000,41500,41500,41500,NA,NA,41500,41500,41500,41500,41500,41500,41000,NA,41000,41000,41000,41900,41000,41000,41500,NA,NA,NA,41500,41500,41500,41000,41500,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,NA,NA,40500,41000,41000,40500,"T0000061"
"853",373,"step up",0.0476,107.5988,107.6464,-43.8,43900,NA,45400,45800,46800,47300,47800,48300,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,48800,48300,47800,47300,NA,NA,NA,42900,42400,41900,41900,NA,NA,NA,42900,42900,43400,44400,45800,46300,47300,47800,47800,47800,47800,NA,46800,NA,71700,70300,69800,NA,"T0000061"
"854",374,"short-c",0.0076,107.6817,107.6894,-47.25,NA,NA,NA,NA,55100,55100,55100,55100,55100,55100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,NA,NA,NA,NA,"T0000061"
"855",375,"flat",0.0168,107.7923,107.8092,-46.95,NA,NA,NA,45400,45400,45800,46300,46300,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,45800,45800,45800,45400,45400,45400,45400,NA,"T0000061"
"856",376,"trill",0.0552,108.5859,108.6412,-69.79,NA,NA,NA,72200,72700,73700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,70800,71200,NA,NA,NA,NA,NA,65900,NA,68800,71700,71700,72200,NA,"T0000061"
"857",378,"step up",0.0322,108.822,108.8542,-61.27,NA,46800,46800,47300,NA,NA,46800,NA,NA,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,47300,47300,47800,47800,47800,47800,47800,47800,47300,47300,84900,85400,84400,84400,NA,NA,76600,76600,76600,NA,NA,70800,70800,70300,70300,"T0000061"
"858",379,"flat-mz trill",0.1044,109.0001,109.1046,-48.5,NA,40500,NA,40000,NA,NA,NA,NA,NA,NA,NA,41000,41900,42400,42900,42900,42400,41900,41500,41000,41000,41500,41900,42400,42900,42900,46300,47300,48300,48300,48800,48800,48300,48300,47800,47300,46800,46300,45400,44400,43900,43400,43400,42900,42900,42900,42900,42400,42400,41500,"T0000061"
"859",380,"flat-z",0.0378,109.3145,109.3524,-42.6,41500,41500,41500,41900,41900,41900,42400,42400,42900,42900,42900,43400,43400,43900,46300,46300,46300,46800,46800,47300,47800,47800,47800,48300,48300,48300,48800,48800,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49300,48800,49300,47800,47800,47300,46800,46300,45800,NA,NA,"T0000061"
"860",382,"flat trill",0.1018,109.5797,109.6816,-66.07,NA,NA,41500,41900,41900,41900,41500,NA,NA,NA,NA,NA,NA,NA,42400,42400,42900,NA,42900,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,NA,43900,NA,NA,45800,46300,46300,46300,46300,46300,45800,NA,44400,NA,NA,65900,NA,NA,NA,"T0000061"
"861",384,"flat",0.086,109.8864,109.9724,-56.66,40000,40500,NA,41000,41000,41000,41000,NA,NA,41000,41000,40500,NA,40000,NA,NA,NA,NA,41500,41900,42400,42400,42900,42900,42900,NA,NA,NA,NA,NA,NA,43400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41000,NA,NA,"T0000061"
"862",387,"flat",0.1817,110.1905,110.3723,-46.86,38500,39000,39500,40000,40000,40000,40000,40000,40000,40000,NA,40000,40000,40000,40000,40000,NA,40000,40000,40000,39500,39500,39500,39500,39500,39000,39500,39500,39500,39500,39500,39500,39500,38500,NA,NA,39000,40000,41000,41500,41500,41500,41500,41000,40500,40500,40000,40000,NA,38500,"T0000061"
"863",389,"flat",0.0773,110.5571,110.6344,-41.27,39500,40000,40500,40500,41000,41500,41500,41500,41900,41900,41900,42400,41900,42400,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,NA,42400,42400,42400,41900,41900,41900,41000,41000,40500,40500,40000,NA,"T0000061"
"864",391,"flat",0.0455,110.8541,110.8997,-58.66,NA,NA,NA,NA,NA,NA,NA,NA,39000,39000,NA,NA,39000,NA,NA,NA,39500,39500,NA,39500,39500,39500,39500,39500,39500,39500,40000,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40000,40000,"T0000061"
"865",393,"flat",0.0209,111.2012,111.2222,-45.56,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,41900,"T0000061"
"866",397,"trill",0.0455,116.2982,116.3438,-71.03,NA,50700,NA,NA,NA,49800,NA,NA,67300,67300,66800,66800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70300,71700,72200,72200,72200,71700,NA,"T0000061"
"867",443,"trill",0.045,143.405,143.4501,-69.23,NA,NA,NA,NA,NA,53200,53700,53700,53700,69300,69300,69800,69300,NA,69800,69300,69800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,71200,71200,NA,NA,NA,NA,"T0000061"
"868",445,"flat",0.0143,153.8498,153.8641,-33.25,55600,55600,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56100,56600,56600,56600,56600,56100,56100,55600,56100,56100,55600,55600,55100,55100,NA,NA,"T0000061"
"869",446,"flat",0.0138,153.965,153.9788,-51.87,49800,49800,50200,50200,50200,50200,50200,50200,50700,50700,51700,52200,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,55100,"T0000061"
"870",448,"trill-f",0.0286,154.3971,154.4258,-43.59,52200,52200,52200,52700,52700,52200,53700,54100,55100,55600,55600,55600,55600,55600,56600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58500,58500,58500,58500,58500,58500,58500,59000,59000,60000,60000,60000,59500,59500,60000,58500,59000,59500,59500,59500,59500,59500,59000,59000,58500,NA,"T0000061"
"871",466,"trill",0.0353,172.5803,172.6156,-93.31,NA,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66400,NA,66800,NA,NA,"T0000061"
"872",467,"multi-step",0.068,172.9438,173.0119,-71.03,NA,51700,52200,NA,55100,55600,56100,56100,55600,NA,NA,NA,51200,50700,50200,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74700,75100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50700,50700,50700,NA,"T0000061"
"873",468,"flat",0.0138,173.0426,173.0565,-61.71,NA,NA,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,NA,NA,NA,NA,50200,50200,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,NA,49800,49800,50200,50200,NA,NA,NA,NA,49800,49800,49800,49800,49800,50200,50200,49800,49800,49800,49300,"T0000061"
"874",469,"flat-mz",0.2319,173.1973,173.4292,-51.65,42900,NA,44400,44400,NA,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,48300,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,47800,47300,47300,47300,47800,47800,43400,42900,42900,43400,43900,44400,44400,44400,43400,42900,42900,42900,43400,43900,43900,NA,"T0000061"
"875",470,"flat-mz",0.1623,173.5459,173.7082,-41.18,41500,42900,43400,43900,44400,44400,44400,44400,44400,44400,44400,44900,44900,44900,45400,47800,47800,47800,47800,47800,48300,48300,48300,48300,48300,47800,47300,47300,46800,47300,47800,47800,48300,47800,47800,46800,43900,43900,44400,47300,48300,48300,48300,47800,47800,47300,45400,44900,44900,43900,"T0000061"
"876",471,"flat-mz",0.1863,173.8286,174.0149,-37.91,NA,42400,42900,43900,44400,44900,47300,47800,47800,47800,47800,47800,47300,47800,47300,47300,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46300,45800,43400,42400,NA,"T0000061"
"877",472,"flat-mz",0.1838,174.1265,174.3103,-41.87,41500,41900,42900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44900,46300,46800,46800,46300,NA,46300,45800,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,41900,41500,"T0000061"
"878",473,"flat",0.1541,174.4404,174.5945,-37.56,41000,42400,42900,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,43400,42900,43400,42900,43400,42900,43400,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41000,"T0000061"
"879",474,"flat",0.0711,174.7281,174.7993,-40.03,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,42400,41900,41900,41900,41900,41900,41900,41900,41500,41900,41500,41500,41500,41000,41000,41000,40500,40500,"T0000061"
"880",476,"trill",0.0435,175.2074,175.2509,-77.75,49300,48800,67300,68300,70300,70300,NA,NA,NA,NA,NA,NA,NA,70800,NA,NA,NA,NA,80500,NA,NA,NA,NA,NA,NA,NA,72700,NA,81500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,71700,NA,83000,83000,NA,72200,NA,NA,NA,NA,"T0000061"
"881",482,"trill",0.0414,175.8673,175.9088,-81.27,NA,NA,62900,62900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67800,68300,68300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66800,NA,NA,NA,NA,"T0000061"
"882",485,"trill",0.0696,176.2513,176.321,-66.07,48300,61500,65900,65900,NA,NA,NA,NA,NA,NA,NA,68800,NA,NA,NA,NA,NA,67800,67300,NA,73700,NA,NA,NA,NA,67300,NA,71700,74200,44900,NA,NA,NA,NA,71200,NA,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,55600,55100,55100,55100,"T0000061"
"883",486,"flat",0.0952,176.5949,176.6901,-48.96,NA,62500,63400,63900,64400,64900,64900,64900,65400,65900,65900,66400,66800,66400,65900,65400,65400,64900,64900,64900,64900,64900,64900,64900,64900,64900,64400,64400,64400,64400,63900,63900,63900,63900,63400,63400,63400,63400,63400,63400,63400,63400,63900,63900,64400,65400,65900,66400,66800,NA,"T0000061"
"884",488,"flat",0.089,176.8058,176.8949,-46.5,53700,55100,55600,56100,56100,56600,56600,56600,56600,56600,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54100,54100,53700,53700,"T0000061"
"885",489,"trill",0.0409,177.3537,177.3946,-81.27,45400,45800,NA,NA,51700,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,63400,63900,NA,"T0000061"
"886",491,"short",0.0081,177.5303,177.5385,-59.33,57100,57100,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,57600,57600,57600,58100,58100,58100,57600,57600,57600,58100,"T0000061"
"887",492,"flat",0.0506,177.7013,177.752,-59.33,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,NA,NA,NA,NA,NA,NA,52700,52700,53200,53700,53700,53700,53200,53700,53700,53700,53700,53700,53700,53700,53700,54100,53700,53200,53700,53700,53200,53200,53200,53200,53200,52200,51700,NA,50700,50200,49800,48800,NA,"T0000061"
"888",493,"flat complex",0.0778,178.1611,178.2389,-49.62,NA,NA,NA,NA,NA,NA,52700,52200,52200,52200,48300,49800,52200,51700,51700,50700,49300,48800,47800,47300,47300,47300,47800,48300,48800,49300,49800,50200,52200,52700,53200,53700,53700,53700,53700,53200,52700,51700,49800,49300,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"889",494,"complex",0.0762,178.3536,178.4299,-53.14,41900,42400,42400,43900,44400,44900,44900,45400,45400,NA,NA,46300,46300,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,46300,47300,47800,47800,47800,48300,48300,48800,48800,48800,48800,48800,48800,48300,48300,48300,47800,47800,47300,46800,46300,45800,"T0000061"
"890",495,"flat",0.0542,178.5861,178.6403,-52.89,NA,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,NA,NA,NA,45800,45800,45400,NA,"T0000061"
"891",498,"flat",0.0194,178.8743,178.8938,-59.33,41900,41900,42400,NA,NA,NA,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,"T0000061"
"892",500,"short",0.0081,178.9951,179.0033,-71.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,49800,49800,49800,49300,49300,49300,49300,49300,49300,NA,NA,NA,NA,NA,NA,49300,49300,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"893",501,"flat short-c short",0.1612,179.0842,179.2455,-45.42,NA,42900,44900,46300,47300,47800,48300,48300,48300,48300,48300,47800,47300,47300,46800,46300,46300,46300,45800,45800,45800,45800,45400,45400,45400,45400,45800,45800,45800,45400,45400,44900,44900,44900,45400,45800,46300,47300,47300,47800,47300,47300,46800,46800,47300,48300,49300,49800,49300,47800,"T0000061"
"894",502,"complex flat",0.2037,179.3126,179.5164,-45.56,47800,50200,50200,49800,47300,47300,48300,NA,NA,NA,NA,49300,NA,NA,NA,42400,44400,46800,47300,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,47300,47300,47300,47300,46800,46800,NA,46300,46300,45800,46300,46300,46800,47300,47300,"T0000061"
"895",503,"flat flat",0.1346,179.5978,179.7324,-47.46,NA,NA,NA,NA,NA,NA,NA,NA,48300,47800,47300,46800,46800,46300,46300,46300,46300,46300,45400,45400,45800,46300,46300,46300,46800,46800,46800,46300,45800,45800,46300,45800,45800,45800,45800,46300,45800,45800,45800,45800,45800,45800,45800,45800,45400,45400,44900,43900,43400,NA,"T0000061"
"896",504,"flat flat-z",0.1192,179.8184,179.9377,-51.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53200,53200,53200,53200,40000,41500,41900,42400,42900,43400,43900,44900,45800,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,45800,44400,42900,"T0000061"
"897",505,"flat",0.0296,180.0166,180.0463,-63.77,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,48300,48300,47800,47800,47800,47300,47300,47300,47300,47300,NA,46800,NA,NA,46800,47300,46800,46800,46800,46800,46300,46300,46300,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,44900,44900,44400,44900,44900,"T0000061"
"898",506,"flat",0.068,180.0857,180.1538,-40.24,41900,42400,42900,43400,44900,45800,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47800,47800,47800,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47300,46800,46800,46300,46300,45800,44900,44400,"T0000061"
"899",508,"flat-z",0.0588,180.3095,180.3683,-58.04,41900,42400,42400,42400,42900,42900,42900,42400,42400,42400,42400,42900,42900,42900,42900,NA,NA,NA,45800,46300,46300,46800,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,NA,NA,"T0000061"
"900",509,"flat",0.0752,180.4969,180.5721,-57.75,NA,NA,42400,42400,43400,44400,44900,NA,NA,45800,45800,NA,NA,NA,NA,NA,47300,NA,NA,NA,NA,NA,NA,45800,45800,45800,45800,NA,46300,46300,46300,46300,46300,46300,46300,46300,46800,46800,46800,46300,46800,46800,46300,46300,46300,46300,46300,46300,45800,45400,"T0000061"
"901",510,"flat-z",0.0619,180.7329,180.7948,-50.96,41900,41900,41900,42400,NA,42400,42900,42900,42900,43400,42900,43400,43400,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,NA,42400,42900,43400,43900,44400,NA,46300,46800,47300,47800,47800,48300,48300,48800,48300,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,47800,"T0000061"
"902",512,"flat-z",0.0686,180.9428,181.0114,-47.55,NA,41900,42400,43400,43400,NA,45400,45800,46300,46300,46800,46800,46800,46800,46800,47300,46800,46800,46800,47300,46800,46800,46800,46800,46800,46800,46300,46300,46300,45800,45800,45800,NA,NA,NA,46300,45800,45800,46300,46800,47300,48300,48800,49300,49800,NA,51700,51700,NA,48800,"T0000061"
"903",514,"flat-z",0.0158,181.1886,181.2044,-49.96,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,48300,48300,48300,48800,48800,48800,49300,49300,49300,NA,NA,NA,NA,NA,52200,52200,53200,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,NA,NA,"T0000061"
"904",518,"short-ur",0.0035,182.912,182.9155,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"905",520,"short-ur",0.0061,183.1244,183.1306,-93.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59500,59500,59500,59500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"906",522,"short-ur",0.0015,183.4055,183.4071,-75.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"907",523,"flat",0.022,183.853,183.875,-62.18,56100,56100,56100,56100,56100,56600,56600,56600,56100,56100,56600,56600,56600,56600,56100,56600,56100,56100,NA,NA,56100,56100,56600,56600,56600,56600,56600,56100,56100,NA,NA,56100,56600,56600,55600,56100,55600,55600,55600,NA,NA,NA,NA,NA,NA,NA,NA,54100,NA,54600,"T0000061"
"908",524,"short",0.0056,184.7209,184.7265,-66.86,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,NA,NA,NA,NA,NA,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,NA,NA,NA,NA,NA,57100,57100,57100,57100,NA,NA,NA,NA,NA,"T0000061"
"909",526,"flat",0.022,186.0019,186.0239,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"910",528,"short",0.0097,186.6434,186.6531,-55.92,NA,NA,NA,NA,NA,NA,53200,53200,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54100,"T0000061"
"911",530,"flat",0.045,186.7955,186.8405,-64.06,NA,NA,NA,NA,NA,NA,52700,52200,52200,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,NA,NA,52700,53200,53200,53200,53200,NA,NA,NA,NA,NA,NA,NA,NA,53200,53200,53200,NA,NA,54100,54100,54600,55100,55100,55600,55600,56600,57100,57100,57100,"T0000061"
"912",539,"step up",0.0235,192.4393,192.4628,-66.86,49300,49300,49300,49300,49300,49800,48800,NA,NA,49300,NA,NA,NA,NA,NA,86900,87400,87400,87400,87400,87800,87800,88300,88300,88300,88300,NA,89300,89300,89300,89300,89300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"913",556,"unclear",0.0143,211.0438,211.0581,-77.75,60000,60000,NA,NA,60500,60500,NA,NA,NA,NA,NA,62000,62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"914",557,"flat",0.0174,211.0981,211.1155,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59000,NA,59000,59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
"915",558,"flat",0.0158,211.329,211.3448,-52.48,57600,57600,58100,58100,58500,58500,58500,58500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59000,59000,59000,58500,"T0000061"
"916",559,"short",0.0066,212.6248,212.6315,-52.4,NA,NA,NA,NA,57100,57100,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57100,57100,57100,57100,56600,56600,56600,NA,"T0000061"
"917",560,"complex",0.0163,212.8122,212.8286,-64.37,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,NA,50700,50700,53200,53200,53200,53700,53700,NA,55600,55600,55600,55600,55600,55600,56600,56600,NA,56600,56600,57100,56100,56100,56100,56100,56100,56100,55600,55600,NA,NA,"T0000061"
"918",570,"flat",0.0296,217.6752,217.7049,-51.51,NA,NA,NA,NA,NA,57600,58100,58100,58100,58500,58500,58500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58500,58500,58500,58500,58100,58100,58100,58100,57600,57600,57600,57100,57100,56600,56600,56600,56600,56600,56100,55600,56100,55600,NA,NA,"T0000061"
"919",573,"downward ramp",0.0194,218.7105,218.7299,-52.17,NA,NA,NA,60000,60000,60000,60000,59500,59500,59500,59500,59500,59000,59000,59000,59000,58500,58500,58500,58500,58100,58100,58100,58100,58100,57600,57600,57600,57600,57100,57100,57100,57100,56600,56600,56600,56600,56600,56100,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,54600,"T0000061"
"920",582,"inverted-u",0.0629,243.073,243.136,-62.68,NA,NA,48800,49300,NA,50200,NA,NA,NA,NA,54100,54600,55100,55100,55100,55100,55100,55100,55100,55600,55100,55100,NA,NA,NA,NA,NA,NA,54100,54100,54100,53700,53200,53200,NA,51200,50700,50200,50200,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,NA,"T0000061"
"921",585,"short",0.0081,243.5394,243.5476,-67.29,85900,85900,85900,85900,85900,85900,85900,85400,85400,85400,85400,85400,85400,85400,85400,85400,84900,84900,84900,84900,84900,84900,84900,84900,84900,84400,84400,84400,84900,84900,84900,84400,84400,84400,83900,83900,83900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000061"
