"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"1911",979,"flat",0.0209,504.0476,504.0686,-51.8,53700,53700,54100,54100,54600,54100,54600,54600,NA,NA,NA,NA,NA,NA,NA,54100,54600,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56600,56100,56600,56600,56600,56600,56600,57600,57600,57600,57600,58100,NA,59000,NA,59500,NA,"T0000291"
"1912",980,"flat",0.0245,504.2396,504.2641,-46,NA,NA,NA,NA,56100,57600,57100,57600,57600,58100,58100,58100,58100,58500,58500,58100,58100,58100,58100,58100,57600,57600,57600,57600,57100,57100,57100,56600,56600,56100,56100,56100,56100,55600,55600,55600,55100,55100,55100,54100,54100,54100,54100,54100,NA,NA,NA,NA,NA,52700,"T0000291"
"1913",981,"multi-step",0.0368,504.4817,504.5186,-59.33,79100,79100,NA,NA,NA,NA,47300,48300,48300,48800,48800,51200,51700,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79500,79100,79100,79100,78600,78100,78100,78100,"T0000291"
"1914",982,"flat-z",0.0414,504.704,504.7454,-48.5,45800,45800,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,NA,NA,47300,47800,47800,47800,47800,47800,48300,48300,48300,48800,48800,48800,NA,NA,NA,NA,53200,53200,52700,52700,"T0000291"
"1915",983,"short-c",0.0087,504.9343,504.9431,-35.44,48800,48800,48800,53200,53200,53200,54100,54100,54100,54100,54100,54100,56100,56100,56100,56100,56100,56100,57100,57100,57100,57100,57100,57100,57600,57600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,57600,57600,57600,57600,57600,57600,"T0000291"
"1916",984,"short-ur",0.0081,505.1514,505.1596,-46.86,79100,79100,79100,79100,80000,80000,80000,79500,79500,79500,NA,NA,NA,80000,80000,80000,80000,80000,80000,NA,NA,NA,95200,95200,95200,NA,NA,NA,98600,98600,98600,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,99100,"T0000291"
"1917",985,"flat",0.0194,505.3655,505.3849,-40.02,52200,52200,52700,52700,53200,53200,53700,53700,53700,53700,54100,54100,54100,55100,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,55600,56100,56100,56100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,55100,54100,54100,"T0000291"
"1918",986,"flat",0.0481,505.8247,505.8728,-44.12,53700,54100,54100,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54100,54100,54100,54100,54100,54100,54100,53700,54100,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,55600,55600,54600,54100,"T0000291"
"1919",987,"short",0.0087,506.0397,506.0485,-64.37,NA,NA,NA,53700,53700,53700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54100,54100,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,NA,NA,NA,"T0000291"
"1920",988,"short-ur",0.004,507.9198,507.9239,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
