"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"173","short-su",0,"T0000187",2,0,"WK"
"174","short-sd",0,"T0000187",2,0,"WK"
"175","short-ur",0,"T0000187",2,0,"WK"
"176","short-dr",0,"T0000187",2,0,"WK"
"177","short-c",1,"T0000187",2,0.5,"WK"
"178","complex",0,"T0000187",2,0,"WK"
"179","upward ramp",0,"T0000187",2,0,"WK"
"180","downward ramp",0,"T0000187",2,0,"WK"
"181","step up",0,"T0000187",2,0,"WK"
"182","step down",0,"T0000187",2,0,"WK"
"183","multi-step",0,"T0000187",2,0,"WK"
"184","multi-step-s",0,"T0000187",2,0,"WK"
"185","trill",0,"T0000187",2,0,"WK"
"186","trill-c",0,"T0000187",2,0,"WK"
"187","trill-f",0,"T0000187",2,0,"WK"
"188","inverted-U",0,"T0000187",2,0,"WK"
"189","unclear",0,"T0000187",2,0,"WK"
"190","flat",12,"T0000191",45,0.266666666666667,"WK"
"191","flat-z",0,"T0000191",45,0,"WK"
"192","flat-mz",1,"T0000191",45,0.0222222222222222,"WK"
"193","short",11,"T0000191",45,0.244444444444444,"WK"
"194","short-su",2,"T0000191",45,0.0444444444444444,"WK"
"195","short-sd",2,"T0000191",45,0.0444444444444444,"WK"
"196","short-ur",7,"T0000191",45,0.155555555555556,"WK"
"197","short-dr",3,"T0000191",45,0.0666666666666667,"WK"
"198","short-c",6,"T0000191",45,0.133333333333333,"WK"
"199","complex",0,"T0000191",45,0,"WK"
"200","upward ramp",0,"T0000191",45,0,"WK"
"201","downward ramp",0,"T0000191",45,0,"WK"
"202","step up",1,"T0000191",45,0.0222222222222222,"WK"
"203","step down",0,"T0000191",45,0,"WK"
"204","multi-step",0,"T0000191",45,0,"WK"
"205","multi-step-s",0,"T0000191",45,0,"WK"
"206","trill",0,"T0000191",45,0,"WK"
"207","trill-c",0,"T0000191",45,0,"WK"
"208","trill-f",0,"T0000191",45,0,"WK"
"209","inverted-U",0,"T0000191",45,0,"WK"
"210","unclear",0,"T0000191",45,0,"WK"
"211","flat",447,"T0000197",548,0.815693430656934,"SD"
"212","flat-z",37,"T0000197",548,0.0675182481751825,"SD"
"213","flat-mz",43,"T0000197",548,0.0784671532846715,"SD"
"214","short",19,"T0000197",548,0.0346715328467153,"SD"
"215","short-su",0,"T0000197",548,0,"SD"
"216","short-sd",0,"T0000197",548,0,"SD"
"217","short-ur",0,"T0000197",548,0,"SD"
"218","short-dr",0,"T0000197",548,0,"SD"
"219","short-c",1,"T0000197",548,0.00182481751824818,"SD"
"220","complex",0,"T0000197",548,0,"SD"
"221","upward ramp",1,"T0000197",548,0.00182481751824818,"SD"
"222","downward ramp",0,"T0000197",548,0,"SD"
"223","step up",0,"T0000197",548,0,"SD"
"224","step down",0,"T0000197",548,0,"SD"
"225","multi-step",0,"T0000197",548,0,"SD"
"226","multi-step-s",0,"T0000197",548,0,"SD"
"227","trill",0,"T0000197",548,0,"SD"
"228","trill-c",0,"T0000197",548,0,"SD"
"229","trill-f",0,"T0000197",548,0,"SD"
"230","inverted-U",0,"T0000197",548,0,"SD"
"231","unclear",0,"T0000197",548,0,"SD"
"232","flat",11,"T0000230",15,0.733333333333333,"WK"
"233","flat-z",1,"T0000230",15,0.0666666666666667,"WK"
"234","flat-mz",0,"T0000230",15,0,"WK"
"235","short",2,"T0000230",15,0.133333333333333,"WK"
"236","short-su",0,"T0000230",15,0,"WK"
"237","short-sd",0,"T0000230",15,0,"WK"
"238","short-ur",0,"T0000230",15,0,"WK"
"239","short-dr",0,"T0000230",15,0,"WK"
"240","short-c",0,"T0000230",15,0,"WK"
"241","complex",1,"T0000230",15,0.0666666666666667,"WK"
"242","upward ramp",0,"T0000230",15,0,"WK"
"243","downward ramp",0,"T0000230",15,0,"WK"
"244","step up",0,"T0000230",15,0,"WK"
"245","step down",0,"T0000230",15,0,"WK"
