"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"155","short-dr",0,"T0000156",161,0,"SD"
"156","short-c",0,"T0000156",161,0,"SD"
"157","complex",0,"T0000156",161,0,"SD"
"158","upward ramp",0,"T0000156",161,0,"SD"
"159","downward ramp",2,"T0000156",161,0.0124223602484472,"SD"
"160","step up",1,"T0000156",161,0.0062111801242236,"SD"
"161","step down",0,"T0000156",161,0,"SD"
"162","multi-step",0,"T0000156",161,0,"SD"
"163","multi-step-s",0,"T0000156",161,0,"SD"
"164","trill",0,"T0000156",161,0,"SD"
"165","trill-c",0,"T0000156",161,0,"SD"
"166","trill-f",0,"T0000156",161,0,"SD"
"167","inverted-U",0,"T0000156",161,0,"SD"
"168","unclear",0,"T0000156",161,0,"SD"
"169","flat",1,"T0000186",1,1,"WK"
"170","flat-z",0,"T0000186",1,0,"WK"
"171","flat-mz",0,"T0000186",1,0,"WK"
"172","short",0,"T0000186",1,0,"WK"
"173","short-su",0,"T0000186",1,0,"WK"
"174","short-sd",0,"T0000186",1,0,"WK"
"175","short-ur",0,"T0000186",1,0,"WK"
"176","short-dr",0,"T0000186",1,0,"WK"
"177","short-c",0,"T0000186",1,0,"WK"
"178","complex",0,"T0000186",1,0,"WK"
"179","upward ramp",0,"T0000186",1,0,"WK"
"180","downward ramp",0,"T0000186",1,0,"WK"
"181","step up",0,"T0000186",1,0,"WK"
"182","step down",0,"T0000186",1,0,"WK"
"183","multi-step",0,"T0000186",1,0,"WK"
"184","multi-step-s",0,"T0000186",1,0,"WK"
"185","trill",0,"T0000186",1,0,"WK"
"186","trill-c",0,"T0000186",1,0,"WK"
"187","trill-f",0,"T0000186",1,0,"WK"
"188","inverted-U",0,"T0000186",1,0,"WK"
"189","unclear",0,"T0000186",1,0,"WK"
"190","flat",76,"T0000192",108,0.703703703703704,"WK"
"191","flat-z",17,"T0000192",108,0.157407407407407,"WK"
"192","flat-mz",3,"T0000192",108,0.0277777777777778,"WK"
"193","short",3,"T0000192",108,0.0277777777777778,"WK"
"194","short-su",0,"T0000192",108,0,"WK"
"195","short-sd",0,"T0000192",108,0,"WK"
"196","short-ur",0,"T0000192",108,0,"WK"
"197","short-dr",0,"T0000192",108,0,"WK"
"198","short-c",0,"T0000192",108,0,"WK"
"199","complex",7,"T0000192",108,0.0648148148148148,"WK"
"200","upward ramp",0,"T0000192",108,0,"WK"
"201","downward ramp",1,"T0000192",108,0.00925925925925926,"WK"
"202","step up",1,"T0000192",108,0.00925925925925926,"WK"
"203","step down",0,"T0000192",108,0,"WK"
"204","multi-step",0,"T0000192",108,0,"WK"
"205","multi-step-s",0,"T0000192",108,0,"WK"
"206","trill",0,"T0000192",108,0,"WK"
"207","trill-c",0,"T0000192",108,0,"WK"
"208","trill-f",0,"T0000192",108,0,"WK"
"209","inverted-U",0,"T0000192",108,0,"WK"
"210","unclear",0,"T0000192",108,0,"WK"
"211","flat",30,"T0000196",39,0.769230769230769,"SD"
"212","flat-z",7,"T0000196",39,0.179487179487179,"SD"
"213","flat-mz",1,"T0000196",39,0.0256410256410256,"SD"
"214","short",1,"T0000196",39,0.0256410256410256,"SD"
"215","short-su",0,"T0000196",39,0,"SD"
"216","short-sd",0,"T0000196",39,0,"SD"
"217","short-ur",0,"T0000196",39,0,"SD"
"218","short-dr",0,"T0000196",39,0,"SD"
"219","short-c",0,"T0000196",39,0,"SD"
"220","complex",0,"T0000196",39,0,"SD"
"221","upward ramp",0,"T0000196",39,0,"SD"
"222","downward ramp",0,"T0000196",39,0,"SD"
"223","step up",0,"T0000196",39,0,"SD"
"224","step down",0,"T0000196",39,0,"SD"
"225","multi-step",0,"T0000196",39,0,"SD"
"226","multi-step-s",0,"T0000196",39,0,"SD"
"227","trill",0,"T0000196",39,0,"SD"
"228","trill-c",0,"T0000196",39,0,"SD"
"229","trill-f",0,"T0000196",39,0,"SD"
"230","inverted-U",0,"T0000196",39,0,"SD"
"231","unclear",0,"T0000196",39,0,"SD"
"232","flat",69,"T0000229",69,1,"WK"
"233","flat-z",0,"T0000229",69,0,"WK"
"234","flat-mz",0,"T0000229",69,0,"WK"
"235","short",0,"T0000229",69,0,"WK"
"236","short-su",0,"T0000229",69,0,"WK"
"237","short-sd",0,"T0000229",69,0,"WK"
"238","short-ur",0,"T0000229",69,0,"WK"
"239","short-dr",0,"T0000229",69,0,"WK"
"240","short-c",0,"T0000229",69,0,"WK"
"241","complex",0,"T0000229",69,0,"WK"
"242","upward ramp",0,"T0000229",69,0,"WK"
"243","downward ramp",0,"T0000229",69,0,"WK"
"244","step up",0,"T0000229",69,0,"WK"
"245","step down",0,"T0000229",69,0,"WK"
"246","multi-step",0,"T0000229",69,0,"WK"
"247","multi-step-s",0,"T0000229",69,0,"WK"
"248","trill",0,"T0000229",69,0,"WK"
"249","trill-c",0,"T0000229",69,0,"WK"
"250","trill-f",0,"T0000229",69,0,"WK"
"251","inverted-U",0,"T0000229",69,0,"WK"
"252","unclear",0,"T0000229",69,0,"WK"
"253","flat",2,"T0000243",46,0.0434782608695652,"SD"
"254","flat-z",0,"T0000243",46,0,"SD"
"255","flat-mz",0,"T0000243",46,0,"SD"
"256","short",10,"T0000243",46,0.217391304347826,"SD"
"257","short-su",3,"T0000243",46,0.0652173913043478,"SD"
"258","short-sd",4,"T0000243",46,0.0869565217391304,"SD"
"259","short-ur",13,"T0000243",46,0.282608695652174,"SD"
"260","short-dr",0,"T0000243",46,0,"SD"
"261","short-c",10,"T0000243",46,0.217391304347826,"SD"
"262","complex",1,"T0000243",46,0.0217391304347826,"SD"
"263","upward ramp",0,"T0000243",46,0,"SD"
"264","downward ramp",0,"T0000243",46,0,"SD"
"265","step up",0,"T0000243",46,0,"SD"
"266","step down",1,"T0000243",46,0.0217391304347826,"SD"
"267","multi-step",0,"T0000243",46,0,"SD"
"268","multi-step-s",0,"T0000243",46,0,"SD"
"269","trill",0,"T0000243",46,0,"SD"
"270","trill-c",0,"T0000243",46,0,"SD"
"271","trill-f",0,"T0000243",46,0,"SD"
"272","inverted-U",0,"T0000243",46,0,"SD"
"273","unclear",2,"T0000243",46,0.0434782608695652,"SD"
"274","flat",570,"T0000256",762,0.748031496062992,"SD"
"275","flat-z",68,"T0000256",762,0.089238845144357,"SD"
"276","flat-mz",79,"T0000256",762,0.103674540682415,"SD"
