file.name,label,start.time
T0000100,flat,603.8932
T0000100,flat,604.078
T0000100,flat,604.3079
T0000100,flat,604.3934
T0000100,flat,604.5532
T0000100,flat,605.0713
T0000100,short,605.2382
T0000100,flat,605.3641
T0000100,flat,605.5429
T0000100,flat,605.7128
T0000100,flat-z,605.8977
T0000100,flat-mz,606.08
T0000100,flat-z harmx under flat,606.2899
T0000100,unclear,606.486
T0000100,unclear,606.6652
T0000100,flat,606.8556
T0000100,flat,607.0317
T0000100,flat,607.1931
T0000100,flat,607.3789
T0000100,flat-mz,607.5356
T0000100,flat-mz,607.6846
T0000100,flat-z,607.8469
T0000100,upward ramp,608.6594
T0000100,flat,612.8599
T0000100,flat,616.75
T0000100,short,616.9246
T0000100,flat,616.9609
T0000100,flat,617.1433
T0000100,flat,617.3373
T0000100,flat,617.7479
T0000100,flat,619.9751
T0000100,flat,620.0734
T0000100,flat,620.246
T0000100,flat,620.6776
T0000100,flat,629.5936
T0000100,flat,630.8618
T0000100,flat,631.7639
T0000100,flat,635.3034
T0000100,flat,635.4529
T0000100,downward ramp,635.6223
T0000100,flat,635.8225
T0000100,flat,635.9572
T0000100,flat,636.1436
T0000100,flat-z,636.2946
T0000100,short,636.4805
T0000100,flat,636.6126
T0000100,downward ramp,636.7759
T0000100,flat,636.9254
T0000100,flat,637.0636
T0000100,flat,637.2285
T0000100,complex,650.966
T0000100,short,651.2471
T0000100,short,651.4221
T0000100,flat,651.819
T0000100,short,653.9017
T0000100,short,654.2151
T0000100,flat,655.4572
T0000100,idk,674.6383
T0000100,flat,685.6898
T0000100,flat,700.8717
T0000100,flat,721.7797
T0000100,idk,728.5032
T0000100,idk,728.6947
T0000100,flat,730.4888
T0000100,short-ur,739.3566
T0000100,short-ur,754.093
T0000100,flat-z,818.6414
T0000100,short harmx,850.8026
T0000100,short harmx,850.8886
T0000100,short harmx,850.9824
T0000100,short,883.3566
T0000100,short,888.2575
T0000100,flat,895.1449
T0000102,short-c,10.2277
T0000102,flat,26.3767
T0000102,short-dr,56.8755
T0000102,short,56.918
T0000102,short,79.5422
T0000102,short,83.9633
T0000102,unclear,105.0603
T0000102,flat,125.3155
T0000102,short,129.9517
T0000102,short,130.2835
T0000102,short,148.2158
