"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000027","flat",0.0199,272.4863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,NA
"T0000027","flat",0.0706,272.6671,NA,NA,NA,NA,40000,41000,41500,41900,42400,41900,42400,42400,42400,42400,42400,42400,42400,42400,41900,NA,42400,41900,41900,NA,42400,42400,42900,41900,42400,41900,41900,41900,41900,41900,41900,41900,42400,42400,41900,41900,42900,42900,42900,42900,43400,43400,43400,NA,NA,NA
"T0000027","flat",0.2201,272.8657,NA,41900,42900,42900,42400,42400,42900,42900,42900,42900,42400,NA,NA,NA,NA,NA,42900,42900,42900,NA,NA,NA,NA,41900,NA,41000,41000,NA,NA,40500,NA,NA,NA,NA,41000,NA,NA,NA,41000,41000,40500,41500,41500,41000,41000,NA,NA,NA,NA,NA
"T0000027","flat-z",0.0747,273.1596,47300,47800,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,47800,47300,47300,47300,46800,46800,46300,43900,44400,44400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,87400,44400,42900,41900,NA
"T0000027","flat under inverted-u",0.1669,273.3803,NA,42400,43900,43400,43400,43400,42900,51700,51700,51200,48300,40500,40000,39500,39500,38500,39000,39000,39000,39000,38500,38500,38500,38000,37500,NA,NA,38000,37100,37100,37500,37100,37100,NA,NA,37100,37500,36600,37100,37100,37500,37500,NA,38000,NA,37500,NA,37500,37500,NA
"T0000027","short",0.0066,273.6634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,43900,43900,43900,NA,NA,NA,NA,NA,NA,NA,44400,44400,44400,44400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.089,274.2189,41500,NA,41900,41900,41900,41900,41500,41000,NA,NA,NA,41000,41000,41000,41000,41000,40500,40500,40000,NA,NA,NA,39500,NA,NA,NA,NA,39000,39000,NA,NA,39000,NA,NA,NA,NA,NA,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0322,275.7969,NA,NA,42400,43400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42900,42400,42400,42400,41900,41900,41900,41900,41900
"T0000027","flat",0.025,281.7274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56600,56600,56600,56600,NA,NA,NA,NA,NA,NA,55600,NA,NA,NA,NA,55600,NA,NA,55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.025,283.3392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
