"","label","file.name","recording","strain"
"290","trill-c NOISE","T0000123","PupsSep","WK"
"291","unclear NOISE","T0000123","PupsSep","WK"
"292","trill-c NOISE","T0000123","PupsSep","WK"
"293","flat NOISE","T0000123","PupsSep","WK"
"294","trill NOISE","T0000123","PupsSep","WK"
"295","flat NOISE","T0000123","PupsSep","WK"
"296","trill-c NOISE","T0000123","PupsSep","WK"
"297","step up NOISE","T0000123","PupsSep","WK"
"298","complex","T0000123","PupsSep","WK"
"299","trill NOISE","T0000123","PupsSep","WK"
"300","short","T0000123","PupsSep","WK"
"301","flat","T0000123","PupsSep","WK"
"302","step up","T0000123","PupsSep","WK"
"303","trill-c NOISE","T0000123","PupsSep","WK"
"304","trill-c","T0000123","PupsSep","WK"
"305","short NOISE","T0000123","PupsSep","WK"
"306","trill NOISE","T0000123","PupsSep","WK"
"307","flat","T0000123","PupsSep","WK"
"308","upward ramp","T0000123","PupsSep","WK"
"309","short harm NOISE","T0000123","PupsSep","WK"
"310","flat","T0000123","PupsSep","WK"
"311","flat","T0000123","PupsSep","WK"
"312","short","T0000123","PupsSep","WK"
"313","short","T0000123","PupsSep","WK"
"314","trill-c NOISE","T0000123","PupsSep","WK"
"315","trill-c NOISE","T0000123","PupsSep","WK"
"316","step down NOISE","T0000123","PupsSep","WK"
"317","flat NOISE","T0000123","PupsSep","WK"
"318","trill-c NOISE","T0000123","PupsSep","WK"
"319","multi-step NOISE","T0000123","PupsSep","WK"
"320","short harm NOISE","T0000123","PupsSep","WK"
"321","trill-c","T0000123","PupsSep","WK"
"322","step up and short and flat NOI","T0000123","PupsSep","WK"
"323","short","T0000123","PupsSep","WK"
"324","flat NOISE","T0000123","PupsSep","WK"
"325","flat NOISE","T0000123","PupsSep","WK"
"326","flat NOISE","T0000123","PupsSep","WK"
"327","flat NOISE","T0000123","PupsSep","WK"
"328","flat NOISE","T0000123","PupsSep","WK"
"329","trill-c NOISE","T0000123","PupsSep","WK"
"330","unclear NOISE","T0000123","PupsSep","WK"
"331","unclear NOISE","T0000123","PupsSep","WK"
"332","trill-c NOISE","T0000123","PupsSep","WK"
"333","unclear NOISE","T0000123","PupsSep","WK"
"334","trill-c NOISE","T0000123","PupsSep","WK"
"335","flat NOISE","T0000123","PupsSep","WK"
"336","trill-c NOISE","T0000123","PupsSep","WK"
"337","trill-c","T0000123","PupsSep","WK"
"338","trill-c NOISE","T0000123","PupsSep","WK"
"339","flat NOISE","T0000123","PupsSep","WK"
"340","trill-f","T0000123","PupsSep","WK"
"341","flat NOISE","T0000123","PupsSep","WK"
"342","flat","T0000123","PupsSep","WK"
"343","trill-c NOISE","T0000123","PupsSep","WK"
"344","trill-c NOISE","T0000123","PupsSep","WK"
"345","trill-c NOISE","T0000123","PupsSep","WK"
"346","flat NOISE","T0000123","PupsSep","WK"
"347","unclear NOISE","T0000123","PupsSep","WK"
"348","flat","T0000123","PupsSep","WK"
"349","flat","T0000123","PupsSep","WK"
"350","trill-c NOISE","T0000123","PupsSep","WK"
"351","multi-step NOISE","T0000123","PupsSep","WK"
"352","short","T0000123","PupsSep","WK"
"353","step up","T0000123","PupsSep","WK"
"354","flat NOISE","T0000123","PupsSep","WK"
"355","trill-c NOISE","T0000123","PupsSep","WK"
"356","trill-c","T0000123","PupsSep","WK"
"357","flat","T0000123","PupsSep","WK"
"358","short","T0000123","PupsSep","WK"
"359","flat","T0000123","PupsSep","WK"
"360","flat NOISE","T0000123","PupsSep","WK"
"361","flat NOISE","T0000123","PupsSep","WK"
"362","trill-c","T0000123","PupsSep","WK"
"363","unclear NOISE","T0000123","PupsSep","WK"
"364","flat","T0000123","PupsSep","WK"
"365","unclear NOISE","T0000123","PupsSep","WK"
"366","short","T0000123","PupsSep","WK"
"367","short-ur","T0000123","PupsSep","WK"
"368","step up NOISE","T0000123","PupsSep","WK"
"369","flat","T0000123","PupsSep","WK"
"370","flat","T0000123","PupsSep","WK"
"371","flat NOISE","T0000123","PupsSep","WK"
"372","trill-c NOISE","T0000123","PupsSep","WK"
"373","flat NOISE","T0000123","PupsSep","WK"
"374","flat","T0000123","PupsSep","WK"
"375","short NOISE","T0000123","PupsSep","WK"
"376","trill NOISE","T0000123","PupsSep","WK"
"377","step up NOISE","T0000123","PupsSep","WK"
"378","trill-c NOISE","T0000123","PupsSep","WK"
"379","trill-c NOISE","T0000123","PupsSep","WK"
"380","unclear NOISE","T0000123","PupsSep","WK"
"381","trill-c NOISE","T0000123","PupsSep","WK"
"382","trill-f NOISE","T0000123","PupsSep","WK"
"383","short","T0000123","PupsSep","WK"
"384","flat","T0000123","PupsSep","WK"
