"","unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","strain"
"18",18,"T0000087","flat",0.0143,4.0903,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,"SD"
"19",19,"T0000087","short",0.0025,4.2675,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,52200,"SD"
"20",20,"T0000087","flat-mz",0.1044,4.4113,50700,50700,50200,49800,49300,48800,48300,47300,47300,46800,46800,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,42900,42900,42900,42400,42400,42400,42400,42400,42900,42900,42900,46300,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47800,48300,47800,NA,"SD"
"21",21,"T0000087","flatonicx",0.025,4.6515,51700,51700,51700,51700,51700,52200,52200,52200,52200,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53700,53700,53700,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,55100,54600,54600,54600,54600,"SD"
"22",22,"T0000087","flat",0.0517,4.8092,50200,50700,50700,50700,50700,50700,50700,50700,50700,50200,50700,50700,50700,50700,50700,51200,51200,51700,51700,52200,52200,52700,52700,52700,53200,53200,53200,53700,53700,53700,53700,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54100,54600,54100,54600,54600,54100,53700,53200,"SD"
"23",23,"T0000087","flatonicx",0.1024,4.9607,41900,41900,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,42400,42400,42400,42900,42900,42900,42900,42900,42400,42400,42400,42400,41500,NA,41900,42900,42900,NA,NA,"SD"
"24",24,"T0000087","flat-mz",0.1008,5.1537,42900,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,43400,43400,43900,43900,43900,45800,47800,48300,46800,45400,NA,"SD"
"25",25,"T0000087","flatonicx",0.086,5.3565,41000,41000,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,43400,43400,43900,44900,44900,44900,44900,43900,"SD"
"26",26,"T0000087","flat-mz",0.0512,5.569,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43900,43900,43900,44400,45400,45800,44900,45800,46800,45800,45800,45800,NA,"SD"
"27",27,"T0000087","flat",0.0481,5.7466,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,44400,44900,44900,44900,44900,44900,NA,"SD"
"28",28,"T0000087","flatonicx",0.0568,5.9187,42400,42900,42900,42900,43400,43400,43400,43400,43400,43900,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44900,NA,43900,43900,44400,44400,44400,NA,NA,NA,NA,NA,NA,109800,"SD"
"29",29,"T0000087","short",0.0066,6.1102,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,"SD"
"30",30,"T0000087","flatonicx",0.0983,7.2069,42900,42900,42900,42900,42400,42400,41900,41900,41900,41500,41500,41000,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41500,41500,41500,41900,41900,41900,41900,42400,42400,41900,"SD"
"31",31,"T0000087","flatonicx",0.0942,7.5847,43900,43900,43900,43900,43900,43900,43400,43400,42900,42400,42400,41900,41900,41900,41500,41500,41000,41000,41000,41000,40500,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41500,41500,41900,41900,42400,42400,42900,42900,"SD"
"32",32,"T0000087","flatonicx",0.0798,10.1688,40500,40500,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,42400,42400,42900,42900,43400,43400,43900,44400,43900,43900,43400,43400,"SD"
"33",33,"T0000087","flatonicx",0.0993,10.3741,42900,43400,43400,43400,42900,42900,42900,42400,42400,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41900,41900,41900,42400,42900,42900,43400,43400,43400,41900,"SD"
"34",34,"T0000087","flatonicx",0.1172,10.6183,41900,41900,41900,41900,41500,41500,41500,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40000,40000,40000,40000,40500,40000,40000,40000,40000,40000,40500,40500,40500,40500,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,42400,42400,41900,"SD"
"35",35,"T0000087","flatonicx",0.1182,10.8656,41500,41500,41500,41500,41000,41000,41000,41000,41000,40500,40500,40500,40000,40000,40000,40500,40000,40000,39500,39500,40000,40000,40000,40000,40500,40500,40500,40500,40500,41000,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,"SD"
"36",36,"T0000087","flatonic",0.1187,11.1344,NA,40500,40500,41000,40500,40000,39500,40000,NA,39500,40500,39500,40500,39500,40500,39500,39500,39500,79500,78600,NA,79100,78600,78600,78600,78600,79100,79500,NA,39500,39500,40000,40000,40000,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41500,41500,41000,41000,"SD"
"37",37,"T0000087","flatonic",0.0865,11.4083,40500,39500,39500,40500,40500,39500,40000,40000,40000,40000,40000,40000,79100,39500,79500,79500,79100,79100,79100,79500,79100,78600,79100,NA,66400,79100,79100,NA,80000,79100,40000,79100,39500,39500,40000,40000,40000,39500,40000,40500,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,"SD"
"38",38,"T0000087","flatonicx",0.1285,11.6413,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,40500,40500,40500,"SD"
"39",39,"T0000087","flatonic",0.0834,11.9424,78600,NA,NA,79100,78600,79100,80000,79100,39500,79100,40000,79500,79100,79100,79100,79100,79100,79100,80000,39500,39500,39500,40000,40000,40000,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40000,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,40500,"SD"
"40",40,"T0000087","flatonic",0.0839,12.2158,NA,NA,40500,39500,40000,39500,39500,79100,39500,80000,78600,NA,78100,79100,78600,78100,77600,NA,78600,NA,78600,NA,77600,78100,78100,77100,77100,77100,NA,77100,77600,77100,78600,NA,65400,77100,77600,NA,79100,NA,78100,78600,78600,78100,78600,NA,78100,NA,NA,NA,"SD"
"41",41,"T0000087","flat",0.0711,12.4948,40500,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,79100,79100,78600,79100,NA,NA,NA,78100,79100,78100,77600,78100,NA,NA,NA,77600,77600,78600,78100,78600,79100,78100,78100,NA,78100,78100,79500,78100,79500,NA,NA,NA,80000,79100,78600,NA,NA,NA,NA,"SD"
"42",42,"T0000087","flatonic",0.1013,12.9279,41900,41000,41500,41000,40500,40500,40500,40000,40000,NA,41000,NA,NA,79100,79500,NA,79100,NA,80000,78600,79500,78600,78600,NA,79500,79100,79500,39500,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41500,41500,41900,42400,41900,"SD"
"43",43,"T0000087","flatonic",0.1146,13.122,76100,78100,78600,78600,39500,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,41500,41000,41000,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41000,40500,"SD"
"44",44,"T0000087","flatonicx",0.0998,13.3652,40000,40000,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,40500,40500,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41000,"SD"
"45",45,"T0000087","flatonicx",0.1233,13.5843,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41900,41900,41900,41500,41500,"SD"
"46",46,"T0000087","flatonicx",0.1008,13.8439,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,41000,40500,41000,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41500,41900,41900,41900,41900,41000,"SD"
"47",47,"T0000087","flatonicx",0.1075,14.0974,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41900,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,"SD"
"48",48,"T0000087","flatonicx",0.1013,14.3662,42400,42400,42400,42400,41900,41900,41500,41500,41500,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40500,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41500,41500,41900,41900,41900,41900,41900,41500,"SD"
"49",49,"T0000087","flat",0.0168,14.6344,NA,NA,NA,NA,NA,NA,43900,43900,42900,NA,NA,NA,NA,NA,42900,42900,42900,43900,42900,42900,43900,43900,43900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43900,NA,NA,NA,43900,43900,42400,42400,42400,NA,42400,42400,42900,42900,42900,NA,42900,NA,"SD"
"50",50,"T0000087","flat-mz",0.1602,14.7855,45800,46300,45800,45800,45800,45400,44900,43400,42400,41900,41900,41500,41000,41000,40500,40500,40500,40500,40500,41000,41000,41000,41500,41500,41900,41900,41900,42400,42400,42400,42900,42900,46300,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,42400,42400,42400,41900,41500,41000,"SD"
"51",51,"T0000087","flatonicx",0.0865,15.0574,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,42400,42400,41900,41500,"SD"
"52",52,"T0000087","flatonicx",0.1018,15.2673,42900,43400,43400,43400,43400,43400,43400,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41500,"SD"
"53",53,"T0000087","flatonic",0.0824,15.4803,42400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41500,41000,41000,41000,41000,41000,41000,40500,41000,40500,40500,40500,40500,40500,40500,40500,40500,81000,40500,40500,81500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41000,"SD"
"54",54,"T0000087","flatonicx",0.0747,15.6759,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41900,42400,42400,42900,42900,42900,"SD"
"55",55,"T0000087","flatonicx",0.0368,15.8771,43900,44400,44400,44400,44400,44400,44900,44900,44900,44900,44900,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,48300,47800,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,47800,47300,45800,45800,45800,"SD"
"56",56,"T0000087","flatonicx",0.0762,16.0384,42900,42900,42900,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41900,41500,41000,41000,41000,41000,41000,40500,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41500,41900,41900,41500,"SD"
"57",57,"T0000087","flatonicx",0.0798,16.2314,43400,43400,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,42900,42900,42900,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42900,43400,43900,43900,43900,43900,43400,"SD"
"58",58,"T0000087","flatonicx",0.0885,16.4295,43900,44400,44400,44400,44400,44400,44400,43900,43900,43400,43400,42900,42900,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42900,42900,42900,42900,43400,43400,43400,42900,"SD"
"59",59,"T0000087","flatonicx",0.0634,16.6471,47800,47800,47800,48300,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,48300,48300,47800,48300,47800,47800,48300,48300,48300,48300,48300,48800,48800,48800,49300,49800,50700,50700,50700,50700,50700,49800,"SD"
"60",60,"T0000087","flat-z",0.1018,16.833,47300,47800,47800,47800,47800,47800,47800,47300,47300,47300,46800,46300,45800,45800,44400,42900,42900,42400,42400,41900,41900,41900,41900,41500,41500,41500,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41900,41900,41900,"SD"
"61",61,"T0000087","flatonic",0.0998,17.4351,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41000,83400,41500,41500,41500,41500,41500,41500,41500,41000,41000,41500,41500,41000,NA,41000,41500,41500,41500,41500,41500,41500,41900,41900,41900,42400,42900,42900,42400,41900,"SD"
"62",62,"T0000087","flat-z",0.1136,17.6599,44900,47800,47800,47800,47800,47800,47300,46800,46800,46300,43400,42900,42900,42400,42400,41900,41900,41900,41500,41500,41500,41500,82000,40500,41000,41000,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41500,41900,41900,42400,42400,42400,42900,43400,43900,44400,43900,42900,"SD"
"63",63,"T0000087","flatonicx",0.0896,17.8728,40500,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41000,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41500,41500,41500,41900,42400,41900,"SD"
"64",64,"T0000087","flatonicx",0.0962,18.0751,43400,43400,43900,43900,43900,43900,43400,43400,43400,42900,42900,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,42900,43400,42900,42400,"SD"
"65",65,"T0000087","flatonicx",0.1121,18.2707,41500,41900,41900,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41000,41000,"SD"
"66",66,"T0000087","flatonicx",0.1392,18.4954,42900,43400,43400,43400,43400,43400,42900,42900,42400,42400,42400,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,43400,43400,43400,43900,43900,42400,41900,"SD"
"67",67,"T0000087","flatonicx",0.1111,18.7463,41900,42400,42400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41900,41900,41900,42400,42400,42900,42900,42900,42900,42900,42900,42900,42400,41500,"SD"
"68",68,"T0000087","flat-mz",0.1152,18.966,43400,43400,44400,47800,47800,47800,47800,47800,47300,47300,47300,47300,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41500,41900,41900,41900,41900,42400,42400,42900,42900,42900,43400,43400,42900,42900,42900,42400,NA,42900,"SD"
"69",69,"T0000087","flatonicx",0.1162,19.1738,40000,40500,41000,41000,41000,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,41900,42400,42400,41900,"SD"
"70",70,"T0000087","flatonicx",0.0906,19.4032,43400,43400,43900,43900,43900,44400,44400,44400,44400,43900,43900,43400,43400,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43900,43900,43900,43900,44400,44400,44400,43900,42900,"SD"
"71",71,"T0000087","flat-mz",0.0952,19.6157,43400,43400,43900,43900,44400,44400,47300,47300,47300,47300,46800,46800,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42900,42900,42400,42400,42400,42400,42400,41000,"SD"
"72",72,"T0000087","flatonicx",0.1121,19.8138,41500,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,42400,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,42400,42400,42400,42900,42900,42900,42900,43400,43400,43400,43400,41900,"SD"
"73",73,"T0000087","flatonicx",0.0916,20.0309,42900,42900,43400,43900,43900,43900,43900,44400,44400,44400,44400,43900,43900,43900,43400,43400,43400,42900,42900,42900,42400,42900,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,43400,43400,43900,43900,44400,44400,43900,42900,"SD"
"74",74,"T0000087","flatonicx",0.1295,20.2511,43400,43900,43900,43900,43900,43900,43400,43400,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41500,41000,41000,41500,41500,41000,41000,41000,41000,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,42400,42400,41900,42400,42400,41900,41900,41500,41000,41000,"SD"
"75",75,"T0000087","flat-z",0.0952,20.4759,41000,41000,41500,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,42400,42400,41900,41900,42400,42400,42400,41900,42400,42400,42400,42400,42400,42400,42900,42900,43400,43400,43400,43900,43900,43900,49300,48800,45800,44400,43900,"SD"
