"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000061","flat",0.0788,94.8157,40500,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41500,41000,40500,40000,39500,39000,39000,39500,40000,40000,41000,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41000,41500,41500,41000,41000,NA
"T0000061","complex trill",0.0752,95.0425,43900,38500,NA,NA,NA,NA,NA,NA,NA,40500,64900,41000,41000,41500,41900,NA,NA,42900,42900,NA,NA,42900,42400,NA,NA,NA,NA,NA,NA,NA,41000,41500,NA,NA,42900,42900,NA,NA,NA,NA,NA,NA,41900,41500,41000,41500,40500,40500,40000,NA
"T0000061","flat",0.0532,95.2709,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40000,40000,40500,NA,40000,40000,NA,40500,39500,NA,39500,39500,39500,39500,39500,39500,39500,39000,39500,39000,39000,39000
"T0000061","trill flat",0.046,95.6579,47300,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64400,64900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,NA
"T0000061","step up",0.0568,98.434,45400,45800,45800,45800,45800,45800,46300,46300,46800,46800,NA,NA,NA,47300,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68800,69300,69300,69300,68800,67800
"T0000061","trill",0.0419,101.3288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67800,67300,NA,67300,NA,69800,69300,69300,NA,NA,NA,NA,NA,NA,NA,NA,69300,69800,70300,69800,69800,NA,NA
"T0000061","flat-z trill",0.1218,101.6412,NA,57100,58100,58100,58100,58100,58100,58500,59000,53200,53200,59000,58500,57600,57100,56600,56100,55600,55600,56100,56100,56600,56600,57100,56600,56600,56600,56100,56100,56100,55600,55600,55600,55100,55100,55100,54600,54600,54100,53700,53200,53200,52700,52700,52200,51700,51200,50700,50700,49800
"T0000061","complex",0.3266,101.8746,NA,NA,NA,47300,46800,46300,47300,48800,48800,47800,47800,48300,48800,47300,43900,43900,47300,47300,43400,42900,43400,47300,47800,47300,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,45800,45800,46300,46300,46300,46300,46300,46300,45800,44900,44400,43400,NA
"T0000061","flat-mz",0.2252,102.3226,39500,41900,42400,42900,43400,46300,46300,45800,45800,45800,45800,45800,45400,45800,45400,45400,45400,45800,45800,45800,46300,46300,46300,46300,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45400,45400,45400,44900,44900,44900,44400,42400,42400,41900,41900,41000,NA
"T0000061","flat-mz",0.1408,102.6836,NA,40500,41000,41000,41500,41500,41500,41500,41500,NA,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,NA,41900,41900,41900,41900,42400,42900,42900,45400,45400,42400,42400,41900,41900,42400,42900,42900,42900,42900,42400,42400,41900,41900,41500,41500,41500,41000,41000,40500
"T0000061","flat",0.1745,102.957,39500,40500,41500,41500,41900,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,41900,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41500,41500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41000,40000
"T0000061","flat-mz",0.0532,103.2524,NA,41500,41500,41900,41900,41900,41900,41900,41500,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,41900,42400,42900,43400,NA,NA,NA,46300,46800,46800,46300,46300,45800,46300,45800,45400,42900,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,41900
"T0000061","flat",0.1715,103.447,40000,41000,41500,41900,41900,42400,41900,41900,41900,41500,41500,41500,41000,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,NA,40500,NA,NA,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41000,NA
"T0000061","flat",0.1146,103.7614,39000,39500,39500,39500,40000,40000,40000,39500,40000,39500,39500,39500,39500,39000,39000,NA,NA,NA,39000,NA,39000,39000,39000,39000,39000,39000,39000,39500,39000,39500,39500,39500,39500,39500,39500,39500,40000,39500,40000,40000,40000,40000,39500,40000,39500,40000,39500,NA,39000,39000
"T0000061","flat",0.0199,104.3834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,71200,NA,71700,71700,NA,NA,NA,71700,72700,72200,72200,72200,72200,72700,72700,72700,72200,72200,NA,71700,71700,71700,71700,71700,71700,71700,NA,NA,NA,NA
"T0000061","flat",0.023,106.3802,45800,45800,45800,NA,45800,NA,46300,46300,46300,NA,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47800,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,45800,45800,45800,45800,45400
"T0000061","trill",0.0552,106.6316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65900,NA,NA,66400,65900,66400,NA,NA,NA,NA,64400,64900,64900,64400,65400,64400,NA,NA,NA,NA,NA,62900,NA,NA,NA,NA,NA,NA,NA
"T0000061","step up",0.0143,107.0909,NA,NA,NA,NA,41900,41900,NA,42400,42400,NA,NA,NA,NA,42400,NA,NA,71200,71200,71200,71200,71200,71200,71200,71200,71200,70800,70800,70800,NA,NA,70300,70300,69800,69800,69800,70300,70300,NA,NA,NA,NA,66400,66400,66400,NA,NA,NA,NA,NA,NA
"T0000061","trill",0.0455,107.1662,46800,NA,NA,NA,NA,NA,NA,70800,71200,72700,72200,71700,72200,NA,NA,NA,NA,NA,NA,NA,72200,72200,72200,72700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,69300,69300,NA,NA,NA,NA,NA,NA,NA,NA,66400,66400,66400,66400,65900
"T0000061","step up",0.0348,107.246,NA,NA,NA,41900,41900,41900,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70300,70800,70300,70300,70300,69800,NA,NA
"T0000061","flat",0.0266,107.4181,41000,41500,41500,41500,NA,NA,41500,41500,41500,41500,41500,41500,41000,NA,41000,41000,41000,41900,41000,41000,41500,NA,NA,NA,41500,41500,41500,41000,41500,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,NA,NA,40500,41000,41000,40500
"T0000061","step up",0.0476,107.5988,43900,NA,45400,45800,46800,47300,47800,48300,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,48800,48300,47800,47300,NA,NA,NA,42900,42400,41900,41900,NA,NA,NA,42900,42900,43400,44400,45800,46300,47300,47800,47800,47800,47800,NA,46800,NA,71700,70300,69800,NA
"T0000061","short-c",0.0076,107.6817,NA,NA,NA,NA,55100,55100,55100,55100,55100,55100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,NA,NA,NA,NA
"T0000061","flat",0.0168,107.7923,NA,NA,NA,45400,45400,45800,46300,46300,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,45800,45800,45800,45400,45400,45400,45400,NA
"T0000061","trill",0.0552,108.5859,NA,NA,NA,72200,72700,73700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,70800,71200,NA,NA,NA,NA,NA,65900,NA,68800,71700,71700,72200,NA
"T0000061","step up",0.0322,108.822,NA,46800,46800,47300,NA,NA,46800,NA,NA,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,47300,47300,47800,47800,47800,47800,47800,47800,47300,47300,84900,85400,84400,84400,NA,NA,76600,76600,76600,NA,NA,70800,70800,70300,70300
"T0000061","flat-mz trill",0.1044,109.0001,NA,40500,NA,40000,NA,NA,NA,NA,NA,NA,NA,41000,41900,42400,42900,42900,42400,41900,41500,41000,41000,41500,41900,42400,42900,42900,46300,47300,48300,48300,48800,48800,48300,48300,47800,47300,46800,46300,45400,44400,43900,43400,43400,42900,42900,42900,42900,42400,42400,41500
"T0000061","flat-z",0.0378,109.3145,41500,41500,41500,41900,41900,41900,42400,42400,42900,42900,42900,43400,43400,43900,46300,46300,46300,46800,46800,47300,47800,47800,47800,48300,48300,48300,48800,48800,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49300,48800,49300,47800,47800,47300,46800,46300,45800,NA,NA
"T0000061","flat trill",0.1018,109.5797,NA,NA,41500,41900,41900,41900,41500,NA,NA,NA,NA,NA,NA,NA,42400,42400,42900,NA,42900,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,NA,43900,NA,NA,45800,46300,46300,46300,46300,46300,45800,NA,44400,NA,NA,65900,NA,NA,NA
"T0000061","flat",0.086,109.8864,40000,40500,NA,41000,41000,41000,41000,NA,NA,41000,41000,40500,NA,40000,NA,NA,NA,NA,41500,41900,42400,42400,42900,42900,42900,NA,NA,NA,NA,NA,NA,43400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41000,NA,NA
"T0000061","flat",0.1817,110.1905,38500,39000,39500,40000,40000,40000,40000,40000,40000,40000,NA,40000,40000,40000,40000,40000,NA,40000,40000,40000,39500,39500,39500,39500,39500,39000,39500,39500,39500,39500,39500,39500,39500,38500,NA,NA,39000,40000,41000,41500,41500,41500,41500,41000,40500,40500,40000,40000,NA,38500
"T0000061","flat",0.0773,110.5571,39500,40000,40500,40500,41000,41500,41500,41500,41900,41900,41900,42400,41900,42400,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,NA,42400,42400,42400,41900,41900,41900,41000,41000,40500,40500,40000,NA
"T0000061","flat",0.0455,110.8541,NA,NA,NA,NA,NA,NA,NA,NA,39000,39000,NA,NA,39000,NA,NA,NA,39500,39500,NA,39500,39500,39500,39500,39500,39500,39500,40000,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40000,40000
"T0000061","flat",0.0209,111.2012,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,41900
"T0000061","trill",0.0455,116.2982,NA,50700,NA,NA,NA,49800,NA,NA,67300,67300,66800,66800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70300,71700,72200,72200,72200,71700,NA
"T0000061","trill",0.045,143.405,NA,NA,NA,NA,NA,53200,53700,53700,53700,69300,69300,69800,69300,NA,69800,69300,69800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,71200,71200,NA,NA,NA,NA
"T0000061","flat",0.0143,153.8498,55600,55600,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56100,56600,56600,56600,56600,56100,56100,55600,56100,56100,55600,55600,55100,55100,NA,NA
"T0000061","flat",0.0138,153.965,49800,49800,50200,50200,50200,50200,50200,50200,50700,50700,51700,52200,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,55100
"T0000061","trill-f",0.0286,154.3971,52200,52200,52200,52700,52700,52200,53700,54100,55100,55600,55600,55600,55600,55600,56600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58500,58500,58500,58500,58500,58500,58500,59000,59000,60000,60000,60000,59500,59500,60000,58500,59000,59500,59500,59500,59500,59500,59000,59000,58500,NA
"T0000061","trill",0.0353,172.5803,NA,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66400,NA,66800,NA,NA
"T0000061","multi-step",0.068,172.9438,NA,51700,52200,NA,55100,55600,56100,56100,55600,NA,NA,NA,51200,50700,50200,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74700,75100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50700,50700,50700,NA
"T0000061","flat",0.0138,173.0426,NA,NA,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,NA,NA,NA,NA,50200,50200,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,NA,49800,49800,50200,50200,NA,NA,NA,NA,49800,49800,49800,49800,49800,50200,50200,49800,49800,49800,49300
